FIELD	CATEGORY	STATUS	AUTHORITY	POSTGRESQL_TARGET	READ	WRITE	READ_WRITE	METADATA	FILE_COUNT	FILES	COMPONENTS	MBSETUP_WRITES	LEGACY_SEMANTICS	MIGRATION_RULE	WRITE_POLICY	PRIVACY_POLICY	COMPATIBILITY_RULE
GraphMode	terminal-preference	decided	PostgreSQL	bbs_user_preferences.ansi_enabled (planned)	20	7	0	0	9	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/door.c,mbsebbs/lastcallers.c,mbsebbs/mail.c,mbsebbs/newuser.c,mbsebbs/term.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	ANSI-Farben und ANSI-Terminalausgabe	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern; Transporterkennung darf nur einen Sitzungswert vorschlagen	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten
DoNotDisturb	terminal-preference	decided	PostgreSQL	bbs_user_preferences.do_not_disturb (planned)	7	4	0	0	5	mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/newuser.c,mbsebbs/user.c,mbsetup/m_users.c	mbsebbs,mbsetup	1	Dauerhafte Nicht-stören-Vorgabe	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Vorgabe selbst ändern; bei Sitzungsbeginn auf den Laufzeitstatus anwenden	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten
Cls	retired-preference	retired	Retired	—	2	3	0	0	3	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/newuser.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	Historische Clear-Screen-Präferenz ohne Laufzeitleser	Nicht nach PostgreSQL migrieren	Nicht mehr bearbeitbar	Nicht sensibel	Für Legacy-Datensätze festen Wert true ausgeben, solange das Binärformat fortbesteht
More	retired-preference	retired	Retired	—	2	3	0	0	3	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/newuser.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	Historische More-Prompt-Präferenz ohne Laufzeitleser	Nicht nach PostgreSQL migrieren	Nicht mehr bearbeitbar	Nicht sensibel	Für Legacy-Datensätze festen Wert true ausgeben, solange das Binärformat fortbesteht
MailScan	login-preference	decided	PostgreSQL	bbs_user_preferences.scan_new_mail (planned)	6	8	0	0	6	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/newuser.c,mbsebbs/user.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	Automatische Suche nach neuer Mail beim Login	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten
OL_ExtInfo	offline-reader-preference	decided	PostgreSQL	bbs_user_preferences.offline_extended_info (planned)	8	3	0	0	4	mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/offline.c,mbsetup/m_users.c	mbsebbs,mbsetup	1	Erweiterte Nachrichteninformationen in Offline-Paketen	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten
MsgEditor	editor-preference	decided	PostgreSQL	bbs_user_preferences.message_editor (planned)	7	9	0	0	7	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/mail.c,mbsebbs/newuser.c,mbsetup/m_users.c,mbutils/mbuser.c	fortytwo-auth,mbsebbs,mbsetup,mbutils	1	Bevorzugter Nachrichteneditor	Legacy-Konstante in einen stabilen Editorbezeichner übersetzen	Benutzer darf einen verfügbaren Editor selbst wählen	Nicht sensibel	Legacy-Konstante nur aus dem PostgreSQL-Bezeichner ableiten
Archiver	offline-reader-preference	decided	PostgreSQL	bbs_user_preferences.archive_format (planned)	10	6	0	0	5	mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/offline.c,mbsebbs/user.c,mbsetup/m_users.c	mbsebbs,mbsetup	2	Bevorzugtes Archivformat für Offline-Pakete	Archivnamen normalisieren; leerer Legacy-Wert wird als ZIP interpretiert	Benutzer darf ein verfügbares Archivformat selbst wählen	Nicht sensibel	Nur ein aktuell verfügbares Legacy-Archivformat ausgeben
sProtocol	transfer-preference	decided	PostgreSQL	bbs_user_preferences.transfer_protocol (planned)	6	5	1	0	7	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/door.c,mbsebbs/newuser.c,mbsebbs/user.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	2	Bevorzugtes Dateiübertragungsprotokoll	Anzeigenamen in einen stabilen Protokollbezeichner übersetzen	Benutzer darf ein aktuell verfügbares Protokoll selbst wählen	Nicht sensibel	Legacy-Anzeigenamen aus dem stabilen Bezeichner ableiten
ieASCII8	retired-preference	retired	Retired	—	0	2	0	0	2	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/newuser.c	fortytwo-auth,mbsebbs	0	Historisches IEMSI-ASCII8-Merkmal ohne Laufzeitleser	Nicht nach PostgreSQL migrieren	Nicht mehr bearbeitbar	Nicht sensibel	Für Legacy-Datensätze festen Wert true ausgeben, solange das Binärformat fortbesteht
ieNEWS	login-preference	decided	PostgreSQL	bbs_user_preferences.show_news_on_login (planned)	6	5	0	0	6	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/newuser.c,mbsebbs/user.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	News-Bulletins beim Login anzeigen	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten
ieFILE	login-preference	decided	PostgreSQL	bbs_user_preferences.show_new_files_on_login (planned)	6	8	0	0	6	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/newuser.c,mbsebbs/user.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	Neue Dateien beim Login anzeigen	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten
FSemacs	editor-preference	decided	PostgreSQL	bbs_user_preferences.fs_editor_keymap (planned)	6	3	0	0	4	mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/mail.c,mbsetup/m_users.c	mbsebbs,mbsetup	1	Emacs- oder WordStar-Tastenbelegung im Fullscreen-Editor	Booleschen Legacy-Wert in emacs oder wordstar übersetzen	Benutzer darf die Tastenbelegung selbst wählen	Nicht sensibel	Legacy-Booleschen Wert aus dem kanonischen Bezeichner ableiten
Charset	terminal-preference	decided	PostgreSQL	bbs_user_preferences.character_set (planned)	21	3	0	0	9	fortytwo-auth/src/legacy_userdb_provision.c,mbnntp/auth.c,mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/email.c,mbsebbs/mail.c,mbsebbs/msgutil.c,mbsebbs/user.c,mbsetup/m_users.c	fortytwo-auth,mbnntp,mbsebbs,mbsetup	1	Zeichensatz für Terminal, Nachrichten und NNTP	Legacy-Enum in einen kanonischen Zeichensatzbezeichner übersetzen	Benutzer darf einen unterstützten Zeichensatz selbst wählen	Nicht sensibel	Legacy-Enum nur aus einem unterstützten PostgreSQL-Wert ableiten
