FIELD	CATEGORY	DIRECT_READ	DIRECT_WRITE	DIRECT_READ_WRITE	DIRECT_METADATA	DIRECT_ACCESS_COUNT	DIRECT_FILE_COUNT	DIRECT_FILES	DIRECT_COMPONENTS	MBSETUP_DIRECT_WRITES	WHOLE_RECORD_EXPOSURE	LEGACY_SEMANTICS	DECISION_STATUS	AUTHORITY	POSTGRESQL_TABLE	POSTGRESQL_TARGET	MIGRATION_RULE	WRITE_POLICY	CONSISTENCY_RULE	SECURITY_RULE
xFsMsged	session-runtime	0	0	0	0	0	0			0	yes	Unbenutztes historisches Full-Screen-Editor-Bit	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Keine Wiederbelebung ohne neue Quellanalyse	Keine Editor-Freigabe daraus ableiten
xScreenLen	session-runtime	0	0	0	0	0	0			0	yes	Unbenutzte historische Bildschirmhöhe	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Bildschirmgröße zukünftig aus der aktuellen Sitzung oder Terminalaushandlung beziehen	Keine Terminalfähigkeit aus diesem Wert vertrauen
xHangUps	session-runtime	0	0	0	0	0	0			0	yes	Unbenutzter historischer Auflegezähler	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Verbindungsabbrüche ausschließlich über Sitzungs- und Auditereignisse erfassen	Nicht für Sperren oder Throttling verwenden
Paged	session-runtime	0	0	0	0	0	0			0	yes	Historischer Tageszähler für Sysop-Paging; aktuell unbenutzt	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Ein zukünftiges Paging-System erhält eigene Ereignisse und Ratelimits	Nicht als Missbrauchs- oder Sperrindikator verwenden
iTransferTime	session-runtime	0	0	0	0	0	0			0	yes	Historisch vorgesehene Dauer der letzten Dateiübertragung; aktuell unbenutzt	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Übertragungszeiten zukünftig als Ereignismetrik und nicht im Benutzerdatensatz erfassen	Keine Downloadberechtigung daraus ableiten
iStatus	session-runtime	0	1	0	0	1	1	mbsebbs/whoson.c	mbsebbs	0	yes	WhosDoingWhat-Aktivitätscode der aktuellen Online-Sitzung	session-only	runtime session	bbs_sessions	activity_status_code	Keinen Bestandswert aus users.data übernehmen; jede Sitzung beginnt mit einem definierten neutralen Status	Nur durch die aktive Sitzung ändern; bei Sitzungsende verwerfen oder als Auditereignis abschließen	Status gehört eindeutig zu einer session_id und niemals als dauerhafte Benutzerpräferenz zum Benutzerkonto	Anzeigeinformation; keine Rolle, Capability oder Autorisierungsentscheidung
CrtDef	iemsi-compatibility	0	0	0	0	0	0			0	yes	Unbenutzte historische IEMSI-Terminalemulation	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Terminaltyp ausschließlich aus moderner Sitzungsaushandlung bestimmen	Keine Terminalfähigkeit ungeprüft übernehmen
Protocol	iemsi-compatibility	0	0	0	0	0	0			0	yes	Unbenutzter numerischer IEMSI-Protokollwert; nicht das aktive Textfeld sProtocol	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Nicht mit der bereits entschiedenen Übertragungspräferenz sProtocol vermischen	Keine Protokollfreigabe daraus ableiten
IEMSI	iemsi-compatibility	0	0	0	0	0	0			0	yes	Unbenutztes historisches IEMSI-Sitzungsbit	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Keine Wiederbelebung ohne neue Protokollentscheidung	Keiner vom Client behaupteten Fähigkeit vertrauen
ieMNU	iemsi-compatibility	0	0	0	0	0	0			0	yes	Unbenutztes historisches IEMSI-Bit für ASCII-Menüdownloads	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Keine Wiederbelebung ohne neue Quellanalyse	Keine Downloadfähigkeit daraus ableiten
ieTAB	iemsi-compatibility	0	0	0	0	0	0			0	yes	Unbenutztes historisches IEMSI-Bit für TAB-Unterstützung	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	TAB-Verhalten aus der aktuellen Terminaldarstellung bestimmen	Keine Terminalfähigkeit ungeprüft übernehmen
