FIELD	CATEGORY	LEGACY_SEMANTICS	AUTHORITY	POSTGRESQL_TARGET	MIGRATION_RULE	WRITE_POLICY	PRIVACY_POLICY	COMPATIBILITY_RULE	STATUS
GraphMode	terminal-preference	ANSI-Farben und ANSI-Terminalausgabe	PostgreSQL	bbs_user_preferences.ansi_enabled (planned)	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern; Transporterkennung darf nur einen Sitzungswert vorschlagen	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten	decided
DoNotDisturb	terminal-preference	Dauerhafte Nicht-stören-Vorgabe	PostgreSQL	bbs_user_preferences.do_not_disturb (planned)	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Vorgabe selbst ändern; bei Sitzungsbeginn auf den Laufzeitstatus anwenden	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten	decided
Cls	retired-preference	Historische Clear-Screen-Präferenz ohne Laufzeitleser	Retired	—	Nicht nach PostgreSQL migrieren	Nicht mehr bearbeitbar	Nicht sensibel	Für Legacy-Datensätze festen Wert true ausgeben, solange das Binärformat fortbesteht	retired
More	retired-preference	Historische More-Prompt-Präferenz ohne Laufzeitleser	Retired	—	Nicht nach PostgreSQL migrieren	Nicht mehr bearbeitbar	Nicht sensibel	Für Legacy-Datensätze festen Wert true ausgeben, solange das Binärformat fortbesteht	retired
MailScan	login-preference	Automatische Suche nach neuer Mail beim Login	PostgreSQL	bbs_user_preferences.scan_new_mail (planned)	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten	decided
OL_ExtInfo	offline-reader-preference	Erweiterte Nachrichteninformationen in Offline-Paketen	PostgreSQL	bbs_user_preferences.offline_extended_info (planned)	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten	decided
MsgEditor	editor-preference	Bevorzugter Nachrichteneditor	PostgreSQL	bbs_user_preferences.message_editor (planned)	Legacy-Konstante in einen stabilen Editorbezeichner übersetzen	Benutzer darf einen verfügbaren Editor selbst wählen	Nicht sensibel	Legacy-Konstante nur aus dem PostgreSQL-Bezeichner ableiten	decided
Archiver	offline-reader-preference	Bevorzugtes Archivformat für Offline-Pakete	PostgreSQL	bbs_user_preferences.archive_format (planned)	Archivnamen normalisieren; leerer Legacy-Wert wird als ZIP interpretiert	Benutzer darf ein verfügbares Archivformat selbst wählen	Nicht sensibel	Nur ein aktuell verfügbares Legacy-Archivformat ausgeben	decided
sProtocol	transfer-preference	Bevorzugtes Dateiübertragungsprotokoll	PostgreSQL	bbs_user_preferences.transfer_protocol (planned)	Anzeigenamen in einen stabilen Protokollbezeichner übersetzen	Benutzer darf ein aktuell verfügbares Protokoll selbst wählen	Nicht sensibel	Legacy-Anzeigenamen aus dem stabilen Bezeichner ableiten	decided
ieASCII8	retired-preference	Historisches IEMSI-ASCII8-Merkmal ohne Laufzeitleser	Retired	—	Nicht nach PostgreSQL migrieren	Nicht mehr bearbeitbar	Nicht sensibel	Für Legacy-Datensätze festen Wert true ausgeben, solange das Binärformat fortbesteht	retired
ieNEWS	login-preference	News-Bulletins beim Login anzeigen	PostgreSQL	bbs_user_preferences.show_news_on_login (planned)	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten	decided
ieFILE	login-preference	Neue Dateien beim Login anzeigen	PostgreSQL	bbs_user_preferences.show_new_files_on_login (planned)	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten	decided
FSemacs	editor-preference	Emacs- oder WordStar-Tastenbelegung im Fullscreen-Editor	PostgreSQL	bbs_user_preferences.fs_editor_keymap (planned)	Booleschen Legacy-Wert in emacs oder wordstar übersetzen	Benutzer darf die Tastenbelegung selbst wählen	Nicht sensibel	Legacy-Booleschen Wert aus dem kanonischen Bezeichner ableiten	decided
Charset	terminal-preference	Zeichensatz für Terminal, Nachrichten und NNTP	PostgreSQL	bbs_user_preferences.character_set (planned)	Legacy-Enum in einen kanonischen Zeichensatzbezeichner übersetzen	Benutzer darf einen unterstützten Zeichensatz selbst wählen	Nicht sensibel	Legacy-Enum nur aus einem unterstützten PostgreSQL-Wert ableiten	decided
